Author,Rate
Stephen R. Covey," 4.13 avg rating — 615,027 ratings"
Steve  Pemberton," 4.32 avg rating — 5,593 ratings"
Eckhart Tolle," 4.09 avg rating — 178,875 ratings"
Jack Canfield," 4.22 avg rating — 32,802 ratings"
Paulo Coelho," 3.89 avg rating — 2,405,201 ratings"
Scott  Nelson, 4.62 avg rating — 13 ratings
Travis Bradberry," 3.84 avg rating — 76,695 ratings"
Dale Carnegie," 4.21 avg rating — 751,239 ratings"
Tom Rath," 3.55 avg rating — 7,288 ratings"
Robert T. Kiyosaki," 4.10 avg rating — 461,694 ratings"
Rick Warren," 3.95 avg rating — 249,951 ratings"
Elle Luna," 3.95 avg rating — 10,913 ratings"
John J. Ratey," 4.09 avg rating — 13,695 ratings"
Chris J. Anderson," 4.01 avg rating — 12,747 ratings"
George S. Clason," 4.25 avg rating — 142,146 ratings"
Chris Guillebeau," 3.67 avg rating — 6,645 ratings"
Daniel Coyle," 3.98 avg rating — 7,946 ratings"
James Allen," 4.25 avg rating — 69,102 ratings"
Chip Heath,really liked it
Kenneth J. Martz, 4.11 avg rating — 37 ratings
Robert Maurer," 3.96 avg rating — 7,930 ratings"
Michael E. Gerber," 4.03 avg rating — 72,330 ratings"
Steven Pressfield," 3.94 avg rating — 19,324 ratings"
Brené Brown," 4.12 avg rating — 85,602 ratings"
Cal Newport," 4.01 avg rating — 8,590 ratings"
Hermann Hesse," 4.04 avg rating — 648,093 ratings"
Julie Morgenstern," 3.82 avg rating — 6,958 ratings"
Dale Carnegie," 4.14 avg rating — 90,445 ratings"
Kristin Neff," 4.11 avg rating — 14,644 ratings"
Steve   Peters," 3.96 avg rating — 15,498 ratings"
Malcolm Gladwell," 3.94 avg rating — 536,853 ratings"
Gabrielle Bernstein," 3.95 avg rating — 18,633 ratings"
Dennis Greenberger," 3.87 avg rating — 4,781 ratings"
Spencer Johnson," 3.88 avg rating — 9,193 ratings"
Daniel H. Pink," 3.94 avg rating — 107,728 ratings"
Gavin de Becker," 4.13 avg rating — 36,467 ratings"
Nir   Eyal," 3.74 avg rating — 14,029 ratings"
Benjamin Hoff," 3.98 avg rating — 111,746 ratings"
Alan W. Watts," 4.12 avg rating — 19,758 ratings"
Benjamin Graham," 4.22 avg rating — 103,857 ratings"
Jonathan Haidt," 4.05 avg rating — 33,336 ratings"
Tim S. Grover," 3.94 avg rating — 11,438 ratings"
Carmine Gallo," 3.85 avg rating — 15,866 ratings"
David    Allen," 3.98 avg rating — 145,741 ratings"
Joyce Meyer," 4.30 avg rating — 65,270 ratings"
K. Anders Ericsson," 4.19 avg rating — 14,533 ratings"
